yesterdays_candle,todays_candle,decision,candle_type,script
pp-bc,pdh-r1,sell,bearish,banknifty
bc-pdl,pdh-r1,sell,bearish,banknifty
bc-s1,pdh-r1,sell,bearish,banknifty
pdl-s1,pdh-r1,sell,bearish,banknifty
s1-pdl,pdh-r1,sell,bearish,banknifty
pdl-s2,pdh-r1,sell,bearish,banknifty
s1-s2,pdh-r1,sell,bearish,banknifty
s2-s3,pdh-r1,sell,bearish,banknifty
< s3,pdh-r1,sell,bearish,banknifty
> r3,r1-pdh,sell,bearish,banknifty
r3-r2,r1-pdh,sell,bearish,banknifty
r2-pdh,r1-pdh,sell,bearish,banknifty
r2-r1,r1-pdh,sell,bearish,banknifty
pdh-r1,r1-pdh,sell,bearish,banknifty
r1-pdh,r1-pdh,sell,bearish,banknifty
r1-tc,r1-pdh,sell,bearish,banknifty
pdh-tc,r1-pdh,sell,bearish,banknifty
tc-pp,r1-pdh,buy,bearish,banknifty
pp-bc,r1-pdh,sell,bearish,banknifty
bc-pdl,r1-pdh,sell,bearish,banknifty
bc-s1,r1-pdh,sell,bearish,banknifty
pdl-s1,r1-pdh,sell,bearish,banknifty
s1-pdl,r1-pdh,sell,bearish,banknifty
pdl-s2,r1-pdh,sell,bearish,banknifty
s1-s2,r1-pdh,sell,bearish,banknifty
s2-s3,r1-pdh,sell,bearish,banknifty
< s3,r1-pdh,sell,bearish,banknifty
> r3,r1-tc,sell,bearish,banknifty
r3-r2,r1-tc,sell,bearish,banknifty
r2-pdh,r1-tc,sell,bearish,banknifty
r2-r1,r1-tc,sell,bearish,banknifty
pdh-r1,r1-tc,sell,bearish,banknifty
r1-pdh,r1-tc,sell,bearish,banknifty
r1-tc,r1-tc,sell,bearish,banknifty
pdh-tc,r1-tc,sell,bearish,banknifty
tc-pp,r1-tc,buy,bearish,banknifty
pp-bc,r1-tc,sell,bearish,banknifty
bc-pdl,r1-tc,sell,bearish,banknifty
bc-s1,r1-tc,sell,bearish,banknifty
pdl-s1,r1-tc,sell,bearish,banknifty
s1-pdl,r1-tc,sell,bearish,banknifty
pdl-s2,r1-tc,sell,bearish,banknifty
s1-s2,r1-tc,sell,bearish,banknifty
s2-s3,r1-tc,sell,bearish,banknifty
< s3,r1-tc,sell,bearish,banknifty
> r3,pdh-tc,sell,bearish,banknifty
r3-r2,pdh-tc,sell,bearish,banknifty
r2-pdh,pdh-tc,sell,bearish,banknifty
r2-r1,pdh-tc,sell,bearish,banknifty
pdh-r1,pdh-tc,sell,bearish,banknifty
r1-pdh,pdh-tc,buy,bearish,banknifty
r1-tc,pdh-tc,sell,bearish,banknifty
pdh-tc,pdh-tc,buy,bearish,banknifty
tc-pp,pdh-tc,sell,bearish,banknifty
pp-bc,pdh-tc,sell,bearish,banknifty
bc-pdl,pdh-tc,sell,bearish,banknifty
bc-s1,pdh-tc,sell,bearish,banknifty
pdl-s1,pdh-tc,sell,bearish,banknifty
s1-pdl,pdh-tc,sell,bearish,banknifty
pdl-s2,pdh-tc,sell,bearish,banknifty
s1-s2,pdh-tc,sell,bearish,banknifty
s2-s3,pdh-tc,sell,bearish,banknifty
< s3,pdh-tc,sell,bearish,banknifty
> r3,tc-pp,sell,bearish,banknifty
r3-r2,tc-pp,sell,bearish,banknifty
r2-pdh,tc-pp,sell,bearish,banknifty
r2-r1,tc-pp,sell,bearish,banknifty
pdh-r1,tc-pp,sell,bearish,banknifty
r1-pdh,tc-pp,sell,bearish,banknifty
r1-tc,tc-pp,sell,bearish,banknifty
pdh-tc,tc-pp,sell,bearish,banknifty
tc-pp,tc-pp,sell,bearish,banknifty
pp-bc,tc-pp,sell,bearish,banknifty
bc-pdl,tc-pp,sell,bearish,banknifty
bc-s1,tc-pp,sell,bearish,banknifty
pdl-s1,tc-pp,sell,bearish,banknifty
s1-pdl,tc-pp,sell,bearish,banknifty
pdl-s2,tc-pp,sell,bearish,banknifty
s1-s2,tc-pp,sell,bearish,banknifty
s2-s3,tc-pp,sell,bearish,banknifty
< s3,tc-pp,sell,bearish,banknifty
> r3,pp-bc,buy,bearish,banknifty
r3-r2,pp-bc,buy,bearish,banknifty
r2-pdh,pp-bc,buy,bearish,banknifty
r2-r1,pp-bc,buy,bearish,banknifty
pdh-r1,pp-bc,buy,bearish,banknifty
r1-pdh,pp-bc,sell,bearish,banknifty
r1-tc,pp-bc,buy,bearish,banknifty
pdh-tc,pp-bc,sell,bearish,banknifty
tc-pp,pp-bc,buy,bearish,banknifty
pp-bc,pp-bc,buy,bearish,banknifty
bc-pdl,pp-bc,buy,bearish,banknifty
bc-s1,pp-bc,buy,bearish,banknifty
pdl-s1,pp-bc,buy,bearish,banknifty
s1-pdl,pp-bc,buy,bearish,banknifty
pdl-s2,pp-bc,buy,bearish,banknifty
s1-s2,pp-bc,buy,bearish,banknifty
s2-s3,pp-bc,buy,bearish,banknifty
< s3,pp-bc,buy,bearish,banknifty
> r3,bc-pdl,buy,bearish,banknifty
r3-r2,bc-pdl,buy,bearish,banknifty
r2-pdh,bc-pdl,buy,bearish,banknifty
r2-r1,bc-pdl,buy,bearish,banknifty
pdh-r1,bc-pdl,buy,bearish,banknifty
r1-pdh,bc-pdl,buy,bearish,banknifty
r1-tc,bc-pdl,buy,bearish,banknifty
pdh-tc,bc-pdl,sell,bearish,banknifty
tc-pp,bc-pdl,buy,bearish,banknifty
pp-bc,bc-pdl,buy,bearish,banknifty
bc-pdl,bc-pdl,buy,bearish,banknifty
bc-s1,bc-pdl,buy,bearish,banknifty
pdl-s1,bc-pdl,buy,bearish,banknifty
s1-pdl,bc-pdl,buy,bearish,banknifty
pdl-s2,bc-pdl,buy,bearish,banknifty
s1-s2,bc-pdl,buy,bearish,banknifty
s2-s3,bc-pdl,buy,bearish,banknifty
< s3,bc-pdl,buy,bearish,banknifty
> r3,bc-s1,buy,bearish,banknifty
r3-r2,bc-s1,buy,bearish,banknifty
r2-pdh,bc-s1,buy,bearish,banknifty
r2-r1,bc-s1,sell,bearish,banknifty
pdh-r1,bc-s1,buy,bearish,banknifty
r1-pdh,bc-s1,buy,bearish,banknifty
r1-tc,bc-s1,buy,bearish,banknifty
pdh-tc,bc-s1,buy,bearish,banknifty
tc-pp,bc-s1,buy,bearish,banknifty
pp-bc,bc-s1,buy,bearish,banknifty
bc-pdl,bc-s1,buy,bearish,banknifty
bc-s1,bc-s1,buy,bearish,banknifty
pdl-s1,bc-s1,buy,bearish,banknifty
s1-pdl,bc-s1,buy,bearish,banknifty
pdl-s2,bc-s1,buy,bearish,banknifty
s1-s2,bc-s1,buy,bearish,banknifty
s2-s3,bc-s1,buy,bearish,banknifty
< s3,bc-s1,buy,bearish,banknifty
> r3,pdl-s1,buy,bearish,banknifty
r3-r2,pdl-s1,buy,bearish,banknifty
r2-pdh,pdl-s1,buy,bearish,banknifty
r2-r1,pdl-s1,buy,bearish,banknifty
pdh-r1,pdl-s1,buy,bearish,banknifty
r1-pdh,pdl-s1,buy,bearish,banknifty
r1-tc,pdl-s1,buy,bearish,banknifty
pdh-tc,pdl-s1,buy,bearish,banknifty
tc-pp,pdl-s1,buy,bearish,banknifty
pp-bc,pdl-s1,buy,bearish,banknifty
bc-pdl,pdl-s1,buy,bearish,banknifty
bc-s1,pdl-s1,sell,bearish,banknifty
pdl-s1,pdl-s1,buy,bearish,banknifty
s1-pdl,pdl-s1,buy,bearish,banknifty
pdl-s2,pdl-s1,buy,bearish,banknifty
s1-s2,pdl-s1,buy,bearish,banknifty
s2-s3,pdl-s1,buy,bearish,banknifty
< s3,pdl-s1,buy,bearish,banknifty
> r3,s1-pdl,buy,bearish,banknifty
r3-r2,s1-pdl,buy,bearish,banknifty
r2-pdh,s1-pdl,sell,bearish,banknifty
r2-r1,s1-pdl,buy,bearish,banknifty
pdh-r1,s1-pdl,buy,bearish,banknifty
r1-pdh,s1-pdl,buy,bearish,banknifty
r1-tc,s1-pdl,buy,bearish,banknifty
pdh-tc,s1-pdl,buy,bearish,banknifty
tc-pp,s1-pdl,buy,bearish,banknifty
pp-bc,s1-pdl,buy,bearish,banknifty
bc-pdl,s1-pdl,buy,bearish,banknifty
bc-s1,s1-pdl,buy,bearish,banknifty
pdl-s1,s1-pdl,buy,bearish,banknifty
s1-pdl,s1-pdl,buy,bearish,banknifty
pdl-s2,s1-pdl,buy,bearish,banknifty
s1-s2,s1-pdl,buy,bearish,banknifty
s2-s3,s1-pdl,buy,bearish,banknifty
< s3,s1-pdl,buy,bearish,banknifty
> r3,pdl-s2,buy,bearish,banknifty
r3-r2,pdl-s2,buy,bearish,banknifty
r2-pdh,pdl-s2,buy,bearish,banknifty
r2-r1,pdl-s2,buy,bearish,banknifty
pdh-r1,pdl-s2,buy,bearish,banknifty
r1-pdh,pdl-s2,buy,bearish,banknifty
r1-tc,pdl-s2,buy,bearish,banknifty
pdh-tc,pdl-s2,buy,bearish,banknifty
tc-pp,pdl-s2,buy,bearish,banknifty
pp-bc,pdl-s2,buy,bearish,banknifty
bc-pdl,pdl-s2,buy,bearish,banknifty
bc-s1,pdl-s2,buy,bearish,banknifty
pdl-s1,pdl-s2,buy,bearish,banknifty
s1-pdl,pdl-s2,buy,bearish,banknifty
pdl-s2,pdl-s2,buy,bearish,banknifty
s1-s2,pdl-s2,buy,bearish,banknifty
s2-s3,pdl-s2,buy,bearish,banknifty
< s3,pdl-s2,buy,bearish,banknifty
> r3,s1-s2,buy,bearish,banknifty
r3-r2,s1-s2,buy,bearish,banknifty
r2-pdh,s1-s2,buy,bearish,banknifty
r2-r1,s1-s2,buy,bearish,banknifty
pdh-r1,s1-s2,buy,bearish,banknifty
r1-pdh,s1-s2,buy,bearish,banknifty
r1-tc,s1-s2,buy,bearish,banknifty
pdh-tc,s1-s2,sell,bearish,banknifty
tc-pp,s1-s2,buy,bearish,banknifty
pp-bc,s1-s2,buy,bearish,banknifty
bc-pdl,s1-s2,buy,bearish,banknifty
bc-s1,s1-s2,buy,bearish,banknifty
pdl-s1,s1-s2,buy,bearish,banknifty
s1-pdl,s1-s2,buy,bearish,banknifty
pdl-s2,s1-s2,buy,bearish,banknifty
s1-s2,s1-s2,buy,bearish,banknifty
s2-s3,s1-s2,buy,bearish,banknifty
< s3,s1-s2,buy,bearish,banknifty
> r3,s2-s3,buy,bearish,banknifty
r3-r2,s2-s3,buy,bearish,banknifty
r2-pdh,s2-s3,buy,bearish,banknifty
r2-r1,s2-s3,buy,bearish,banknifty
pdh-r1,s2-s3,buy,bearish,banknifty
r1-pdh,s2-s3,buy,bearish,banknifty
r1-tc,s2-s3,buy,bearish,banknifty
pdh-tc,s2-s3,buy,bearish,banknifty
tc-pp,s2-s3,buy,bearish,banknifty
pp-bc,s2-s3,buy,bearish,banknifty
bc-pdl,s2-s3,buy,bearish,banknifty
bc-s1,s2-s3,sell,bearish,banknifty
pdl-s1,s2-s3,buy,bearish,banknifty
s1-pdl,s2-s3,buy,bearish,banknifty
pdl-s2,s2-s3,buy,bearish,banknifty
s1-s2,s2-s3,buy,bearish,banknifty
s2-s3,s2-s3,buy,bearish,banknifty
< s3,s2-s3,buy,bearish,banknifty
> r3,< s3,no_trade,bearish,banknifty
r3-r2,< s3,no_trade,bearish,banknifty
r2-pdh,< s3,no_trade,bearish,banknifty
r2-r1,< s3,no_trade,bearish,banknifty
pdh-r1,< s3,no_trade,bearish,banknifty
r1-pdh,< s3,no_trade,bearish,banknifty
r1-tc,< s3,no_trade,bearish,banknifty
pdh-tc,< s3,no_trade,bearish,banknifty
tc-pp,< s3,no_trade,bearish,banknifty
pp-bc,< s3,no_trade,bearish,banknifty
bc-pdl,< s3,no_trade,bearish,banknifty
bc-s1,< s3,no_trade,bearish,banknifty
pdl-s1,< s3,no_trade,bearish,banknifty
s1-pdl,< s3,no_trade,bearish,banknifty
pdl-s2,< s3,no_trade,bearish,banknifty
s1-s2,< s3,no_trade,bearish,banknifty
s2-s3,< s3,no_trade,bearish,banknifty
< s3,< s3,no_trade,bearish,banknifty
