,param,candle,stoch,pivot,decision
138,param1 alt,bullish,os,pdl-s1,no_trade
139,param1 alt,bullish,os,s1-pdl,no_trade
140,param1 alt,bullish,os,pdl-s2,no_trade
141,param1 alt,bullish,os,s1-s2,no_trade
142,param1 alt,bullish,os,s2-s3,no_trade
143,param1 alt,bullish,os,< s3,no_trade
144,param1 alt,bullish,nu,> r3,sell
145,param1 alt,bullish,nu,r3-r2,buy
146,param1 alt,bullish,nu,r2-pdh,sell
147,param1 alt,bullish,nu,r2-r1,buy
148,param1 alt,bullish,nu,pdh-r1,no_trade
149,param1 alt,bullish,nu,r1-pdh,no_trade
150,param1 alt,bullish,nu,r1-tc,no_trade
151,param1 alt,bullish,nu,pdh-tc,no_trade
152,param1 alt,bullish,nu,tc-pp,no_trade
153,param1 alt,bullish,nu,pp-bc,no_trade
154,param1 alt,bullish,nu,bc-pdl,no_trade
155,param1 alt,bullish,nu,bc-s1,no_trade
156,param1 alt,bullish,nu,pdl-s1,no_trade
157,param1 alt,bullish,nu,s1-pdl,no_trade
158,param1 alt,bullish,nu,pdl-s2,no_trade
159,param1 alt,bullish,nu,s1-s2,no_trade
160,param1 alt,bullish,nu,s2-s3,no_trade
161,param1 alt,bullish,nu,< s3,no_trade
162,param1 alt,bearish,ob,> r3,no_trade
163,param1 alt,bearish,ob,r3-r2,no_trade
164,param1 alt,bearish,ob,r2-pdh,no_trade
165,param1 alt,bearish,ob,r2-r1,no_trade
166,param1 alt,bearish,ob,pdh-r1,no_trade
167,param1 alt,bearish,ob,r1-pdh,no_trade
168,param1 alt,bearish,ob,r1-tc,no_trade
169,param1 alt,bearish,ob,pdh-tc,no_trade
170,param1 alt,bearish,ob,tc-pp,no_trade
171,param1 alt,bearish,ob,pp-bc,no_trade
172,param1 alt,bearish,ob,bc-pdl,no_trade
173,param1 alt,bearish,ob,bc-s1,no_trade
174,param1 alt,bearish,ob,pdl-s1,no_trade
175,param1 alt,bearish,ob,s1-pdl,no_trade
176,param1 alt,bearish,ob,pdl-s2,no_trade
177,param1 alt,bearish,ob,s1-s2,no_trade
178,param1 alt,bearish,ob,s2-s3,no_trade
179,param1 alt,bearish,ob,< s3,no_trade
180,param1 alt,bearish,os,> r3,no_trade
181,param1 alt,bearish,os,r3-r2,no_trade
182,param1 alt,bearish,os,r2-pdh,no_trade
183,param1 alt,bearish,os,r2-r1,no_trade
184,param1 alt,bearish,os,pdh-r1,no_trade
185,param1 alt,bearish,os,r1-pdh,no_trade
186,param1 alt,bearish,os,r1-tc,no_trade
187,param1 alt,bearish,os,pdh-tc,no_trade
188,param1 alt,bearish,os,tc-pp,no_trade
189,param1 alt,bearish,os,pp-bc,no_trade
190,param1 alt,bearish,os,bc-pdl,no_trade
191,param1 alt,bearish,os,bc-s1,no_trade
192,param1 alt,bearish,os,pdl-s1,no_trade
193,param1 alt,bearish,os,s1-pdl,no_trade
194,param1 alt,bearish,os,pdl-s2,no_trade
195,param1 alt,bearish,os,s1-s2,no_trade
196,param1 alt,bearish,os,s2-s3,no_trade
197,param1 alt,bearish,os,< s3,no_trade
198,param1 alt,bearish,nu,> r3,no_trade
199,param1 alt,bearish,nu,r3-r2,no_trade
200,param1 alt,bearish,nu,r2-pdh,no_trade
201,param1 alt,bearish,nu,r2-r1,buy
202,param1 alt,bearish,nu,pdh-r1,no_trade
203,param1 alt,bearish,nu,r1-pdh,no_trade
204,param1 alt,bearish,nu,r1-tc,no_trade
205,param1 alt,bearish,nu,pdh-tc,no_trade
206,param1 alt,bearish,nu,tc-pp,no_trade
207,param1 alt,bearish,nu,pp-bc,no_trade
208,param1 alt,bearish,nu,bc-pdl,no_trade
209,param1 alt,bearish,nu,bc-s1,no_trade
210,param1 alt,bearish,nu,pdl-s1,no_trade
211,param1 alt,bearish,nu,s1-pdl,no_trade
212,param1 alt,bearish,nu,pdl-s2,no_trade
