,param,candle,stoch,pivot,decision
147,param1 alt,bullish,nu,r2-r1,buy
148,param1 alt,bullish,nu,pdh-r1,buy
149,param1 alt,bullish,nu,r1-pdh,buy
150,param1 alt,bullish,nu,r1-tc,buy
151,param1 alt,bullish,nu,pdh-tc,buy
152,param1 alt,bullish,nu,tc-pp,buy
153,param1 alt,bullish,nu,pp-bc,buy
154,param1 alt,bullish,nu,bc-pdl,buy
155,param1 alt,bullish,nu,bc-s1,buy
156,param1 alt,bullish,nu,pdl-s1,buy
157,param1 alt,bullish,nu,s1-pdl,buy
158,param1 alt,bullish,nu,pdl-s2,buy
159,param1 alt,bullish,nu,s1-s2,buy
160,param1 alt,bullish,nu,s2-s3,buy
161,param1 alt,bullish,nu,< s3,buy
162,param1 alt,bearish,ob,> r3,buy
163,param1 alt,bearish,ob,r3-r2,buy
164,param1 alt,bearish,ob,r2-pdh,buy
165,param1 alt,bearish,ob,r2-r1,buy
166,param1 alt,bearish,ob,pdh-r1,buy
167,param1 alt,bearish,ob,r1-pdh,buy
168,param1 alt,bearish,ob,r1-tc,buy
169,param1 alt,bearish,ob,pdh-tc,buy
170,param1 alt,bearish,ob,tc-pp,buy
171,param1 alt,bearish,ob,pp-bc,buy
172,param1 alt,bearish,ob,bc-pdl,buy
173,param1 alt,bearish,ob,bc-s1,buy
174,param1 alt,bearish,ob,pdl-s1,buy
175,param1 alt,bearish,ob,s1-pdl,buy
176,param1 alt,bearish,ob,pdl-s2,buy
177,param1 alt,bearish,ob,s1-s2,buy
178,param1 alt,bearish,ob,s2-s3,buy
179,param1 alt,bearish,ob,< s3,buy
180,param1 alt,bearish,os,> r3,buy
181,param1 alt,bearish,os,r3-r2,buy
182,param1 alt,bearish,os,r2-pdh,buy
183,param1 alt,bearish,os,r2-r1,buy
184,param1 alt,bearish,os,pdh-r1,buy
185,param1 alt,bearish,os,r1-pdh,buy
186,param1 alt,bearish,os,r1-tc,buy
187,param1 alt,bearish,os,pdh-tc,buy
188,param1 alt,bearish,os,tc-pp,buy
189,param1 alt,bearish,os,pp-bc,buy
190,param1 alt,bearish,os,bc-pdl,buy
191,param1 alt,bearish,os,bc-s1,buy
192,param1 alt,bearish,os,pdl-s1,buy
193,param1 alt,bearish,os,s1-pdl,buy
194,param1 alt,bearish,os,pdl-s2,buy
195,param1 alt,bearish,os,s1-s2,buy
196,param1 alt,bearish,os,s2-s3,buy
197,param1 alt,bearish,os,< s3,buy
198,param1 alt,bearish,nu,> r3,buy
199,param1 alt,bearish,nu,r3-r2,buy
200,param1 alt,bearish,nu,r2-pdh,buy
201,param1 alt,bearish,nu,r2-r1,buy
202,param1 alt,bearish,nu,pdh-r1,buy
203,param1 alt,bearish,nu,r1-pdh,buy
204,param1 alt,bearish,nu,r1-tc,sell
205,param1 alt,bearish,nu,pdh-tc,buy
206,param1 alt,bearish,nu,tc-pp,buy
207,param1 alt,bearish,nu,pp-bc,buy
208,param1 alt,bearish,nu,bc-pdl,buy
209,param1 alt,bearish,nu,bc-s1,buy
210,param1 alt,bearish,nu,pdl-s1,buy
211,param1 alt,bearish,nu,s1-pdl,buy
212,param1 alt,bearish,nu,pdl-s2,buy
213,param1 alt,bearish,nu,s1-s2,buy
214,param1 alt,bearish,nu,s2-s3,buy
215,param1 alt,bearish,nu,< s3,buy
216,param2,bullish,ob,> r3,sell
217,param2,bullish,ob,r3-r2,sell
218,param2,bullish,ob,r2-pdh,sell
219,param2,bullish,ob,r2-r1,sell
220,param2,bullish,ob,pdh-r1,sell
221,param2,bullish,ob,r1-pdh,sell
222,param2,bullish,ob,r1-tc,sell
223,param2,bullish,ob,pdh-tc,sell
224,param2,bullish,ob,tc-pp,sell
225,param2,bullish,ob,pp-bc,sell
226,param2,bullish,ob,bc-pdl,sell
227,param2,bullish,ob,bc-s1,sell
228,param2,bullish,ob,pdl-s1,sell
229,param2,bullish,ob,s1-pdl,sell
230,param2,bullish,ob,pdl-s2,sell
231,param2,bullish,ob,s1-s2,sell
232,param2,bullish,ob,s2-s3,sell
233,param2,bullish,ob,< s3,sell
234,param2,bullish,os,> r3,sell
235,param2,bullish,os,r3-r2,sell
236,param2,bullish,os,r2-pdh,sell
237,param2,bullish,os,r2-r1,sell
238,param2,bullish,os,pdh-r1,sell
239,param2,bullish,os,r1-pdh,sell
240,param2,bullish,os,r1-tc,sell
241,param2,bullish,os,pdh-tc,sell
242,param2,bullish,os,tc-pp,sell
243,param2,bullish,os,pp-bc,sell
244,param2,bullish,os,bc-pdl,sell
245,param2,bullish,os,bc-s1,sell
246,param2,bullish,os,pdl-s1,sell
247,param2,bullish,os,s1-pdl,sell
248,param2,bullish,os,pdl-s2,sell
249,param2,bullish,os,s1-s2,sell
250,param2,bullish,os,s2-s3,sell
251,param2,bullish,os,< s3,sell
252,param2,bullish,nu,> r3,sell
