script,vwap_hourly,supertrend_hourly,parabolic_15min,bullish_bearish_15,vwap_kiss,vwap_spread,stoch_oversold_no_trade,custom,pwh_gt_tc_and_close_gt_pwh,reversal_trade,reversal_hard_sl,reversal_sl_hourly,reversal_target_ltp,hard_sl_multiplier,sl_hourly_multiplier,target_ltp_multiplier,entry_last,decision
BANKNIFTY,BUY,BUY,BUY,BULLISH,TRUE,<150,TRUE,open=low,,YES,same as entry points,,1.35,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,BUY,BUY,BULLISH,TRUE,<150,TRUE,,,NO,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,BUY,BUY,BUY,BULLISH,TRUE,>150,TRUE,close>pwh,TRUE,YES,same as entry points,,1.4(CLOSE-HIGH),1,,1.5,11:30,BUY
BANKNIFTY,BUY,BUY,BUY,BULLISH,TRUE,>150,TRUE,close>pwh,FALSE,YES,same as entry points,,1.4,1,,1.5,11:30,SELL
BANKNIFTY,BUY,BUY,BUY,BULLISH,TRUE,>150,TRUE,,,,,,,1,1,1.5,11:30,SELL
BANKNIFTY,BUY,BUY,BUY,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,BUY,BUY,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,BUY,SELL,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,BUY,BUY,SELL,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,BUY,BUY,SELL,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,BUY,SELL,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,NOTRADE
BANKNIFTY,BUY,SELL,BUY,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,SELL,BUY,BULLISH,TRUE,>150,TRUE,close > 2previous_vwap,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,SELL,BUY,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,BUY,SELL,BUY,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,BUY,SELL,BUY,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,BUY,SELL,SELL,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,SELL,SELL,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,BUY,SELL,SELL,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,NO_TRADE
BANKNIFTY,BUY,SELL,SELL,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,NO_TRADE
BANKNIFTY,SELL,BUY,BUY,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,NO_TRADE
BANKNIFTY,SELL,BUY,BUY,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,NO_TRADE
BANKNIFTY,SELL,BUY,BUY,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,BUY,BUY,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,BUY,SELL,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,BUY,SELL,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,BUY,SELL,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,BUY,SELL,BEARISH,TRUE,>150,TRUE,close < 2previous_vwap,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,BUY,SELL,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,SELL,BUY,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,SELL,BUY,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,SELL,BUY,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,SELL,BUY,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,SELL,SELL,BULLISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,SELL,SELL,BULLISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,SELL,SELL,BEARISH,TRUE,>150,TRUE,open=high,,,,,,1.5,1,1.5,11:30,BUY
BANKNIFTY,SELL,SELL,SELL,BEARISH,TRUE,>150,TRUE,sl>250,,,,,,220,,220,11:30,SELL
BANKNIFTY,SELL,SELL,SELL,BEARISH,TRUE,<150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
BANKNIFTY,SELL,SELL,SELL,BEARISH,TRUE,>150,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
