,yesterdays_candle,todays_candle,condition,candle_type,script
123,s1-s2,r1-tc,sell,bearish,nifty
124,s2-s3,r1-tc,sell,bearish,nifty
125,< s3,r1-tc,sell,bearish,nifty
126,> r3,pdh-tc,sell,bearish,nifty
127,r3-r2,pdh-tc,sell,bearish,nifty
128,r2-pdh,pdh-tc,sell,bearish,nifty
129,r2-r1,pdh-tc,sell,bearish,nifty
130,pdh-r1,pdh-tc,buy,bearish,nifty
131,r1-pdh,pdh-tc,sell,bearish,nifty
132,r1-tc,pdh-tc,sell,bearish,nifty
133,pdh-tc,pdh-tc,sell,bearish,nifty
134,tc-pp,pdh-tc,sell,bearish,nifty
135,pp-bc,pdh-tc,sell,bearish,nifty
136,bc-pdl,pdh-tc,buy,bearish,nifty
137,bc-s1,pdh-tc,sell,bearish,nifty
138,pdl-s1,pdh-tc,sell,bearish,nifty
139,s1-pdl,pdh-tc,sell,bearish,nifty
140,pdl-s2,pdh-tc,sell,bearish,nifty
141,s1-s2,pdh-tc,sell,bearish,nifty
142,s2-s3,pdh-tc,sell,bearish,nifty
143,< s3,pdh-tc,sell,bearish,nifty
144,> r3,tc-pp,sell,bearish,nifty
145,r3-r2,tc-pp,sell,bearish,nifty
146,r2-pdh,tc-pp,sell,bearish,nifty
147,r2-r1,tc-pp,sell,bearish,nifty
148,pdh-r1,tc-pp,sell,bearish,nifty
149,r1-pdh,tc-pp,sell,bearish,nifty
150,r1-tc,tc-pp,buy,bearish,nifty
151,pdh-tc,tc-pp,sell,bearish,nifty
152,tc-pp,tc-pp,sell,bearish,nifty
153,pp-bc,tc-pp,sell,bearish,nifty
154,bc-pdl,tc-pp,sell,bearish,nifty
155,bc-s1,tc-pp,sell,bearish,nifty
156,pdl-s1,tc-pp,sell,bearish,nifty
157,s1-pdl,tc-pp,sell,bearish,nifty
158,pdl-s2,tc-pp,buy,bearish,nifty
159,s1-s2,tc-pp,sell,bearish,nifty
160,s2-s3,tc-pp,sell,bearish,nifty
161,< s3,tc-pp,sell,bearish,nifty
162,> r3,pp-bc,buy,bearish,nifty
163,r3-r2,pp-bc,buy,bearish,nifty
164,r2-pdh,pp-bc,buy,bearish,nifty
165,r2-r1,pp-bc,buy,bearish,nifty
166,pdh-r1,pp-bc,buy,bearish,nifty
167,r1-pdh,pp-bc,sell,bearish,nifty
168,r1-tc,pp-bc,buy,bearish,nifty
169,pdh-tc,pp-bc,buy,bearish,nifty
170,tc-pp,pp-bc,buy,bearish,nifty
171,pp-bc,pp-bc,buy,bearish,nifty
172,bc-pdl,pp-bc,buy,bearish,nifty
173,bc-s1,pp-bc,buy,bearish,nifty
174,pdl-s1,pp-bc,buy,bearish,nifty
175,s1-pdl,pp-bc,buy,bearish,nifty
176,pdl-s2,pp-bc,buy,bearish,nifty
177,s1-s2,pp-bc,sell,bearish,nifty
178,s2-s3,pp-bc,sell,bearish,nifty
179,< s3,pp-bc,buy,bearish,nifty
180,> r3,bc-pdl,buy,bearish,nifty
181,r3-r2,bc-pdl,buy,bearish,nifty
182,r2-pdh,bc-pdl,buy,bearish,nifty
183,r2-r1,bc-pdl,buy,bearish,nifty
184,pdh-r1,bc-pdl,buy,bearish,nifty
185,r1-pdh,bc-pdl,buy,bearish,nifty
186,r1-tc,bc-pdl,buy,bearish,nifty
187,pdh-tc,bc-pdl,sell,bearish,nifty
188,tc-pp,bc-pdl,buy,bearish,nifty
189,pp-bc,bc-pdl,sell,bearish,nifty
190,bc-pdl,bc-pdl,buy,bearish,nifty
191,bc-s1,bc-pdl,buy,bearish,nifty
192,pdl-s1,bc-pdl,sell,bearish,nifty
193,s1-pdl,bc-pdl,buy,bearish,nifty
194,pdl-s2,bc-pdl,sell,bearish,nifty
195,s1-s2,bc-pdl,sell,bearish,nifty
196,s2-s3,bc-pdl,sell,bearish,nifty
197,< s3,bc-pdl,sell,bearish,nifty
198,> r3,bc-s1,buy,bearish,nifty
199,r3-r2,bc-s1,buy,bearish,nifty
200,r2-pdh,bc-s1,sell,bearish,nifty
201,r2-r1,bc-s1,buy,bearish,nifty
202,pdh-r1,bc-s1,buy,bearish,nifty
203,r1-pdh,bc-s1,buy,bearish,nifty
204,r1-tc,bc-s1,buy,bearish,nifty
205,pdh-tc,bc-s1,buy,bearish,nifty
206,tc-pp,bc-s1,buy,bearish,nifty
207,pp-bc,bc-s1,buy,bearish,nifty
208,bc-pdl,bc-s1,sell,bearish,nifty
209,bc-s1,bc-s1,buy,bearish,nifty
